Resumo;Datacontrato ;Marca;Modelo;Datafinalizacao;prazo
19260;02/07/2024;VOLVO;C40 COUPE;24/06/2024 18:48;22
19397;02/07/2024;BYD;SONG PLUS SUV;26/06/2024 20:22;22
19373;02/07/2024;BYD;DOLPHIN GS HATCH;01/07/2024 11:22;22
19595;28/06/2024;KIA;SPORTAGE SUV;27/06/2024 14:48;22
19301;28/06/2024;LEXUS;NX 350 H SUV;25/06/2024 07:03;22
19483;28/06/2024;BMW;X3 SUV;24/06/2024 17:02;22
19393;28/06/2024;GWM;HAVAL H6 GT;26/06/2024 20:22;22
19510;28/06/2024;RAM;RAMPAGE PICK-UP;14/06/2024 19:07;22
19550;28/06/2024;JEEP;RENEGADE SUV;28/06/2024 15:26;22
19172;27/06/2024;VOLVO;XC60 SUV;29/06/2024 10:03;22
19554;26/06/2024;JEEP;COMPASS SUV;25/06/2024 16:25;22
19544;27/06/2024;VOLKSWAGEN;TIGUAN ALLSPACE SUV;25/06/2024 08:02;22
19621;27/06/2024;VOLKSWAGEN;TAOS SUV;18/06/2024 16:28;22
19620;27/06/2024;VOLKSWAGEN;TAOS SUV;26/06/2024 14:01;22
19619;27/06/2024;VOLKSWAGEN;TAOS SUV;24/06/2024 18:55;22
19250;27/06/2024;BMW;X5 SUV;27/06/2024 20:45;22
19615;27/06/2024;BYD;SONG PLUS SUV;25/06/2024 07:23;22
19577;27/06/2024;JAGUAR;F-PACE SUV;02/07/2024 08:59;22
18742;27/06/2024;BMW;X3 SUV;26/06/2024 13:26;22
19555;27/06/2024;LAND ROVER;DISCOVERY SPORT SUV;24/06/2024 15:52;22
19226;27/06/2024;VOLVO;C40 COUPE;26/06/2024 16:30;22
19583;26/06/2024;BMW;SERIE 3 SEDAN;25/06/2024 08:03;22
19046;26/06/2024;LAND ROVER;DEFENDER 110 SUV;29/06/2024 13:13;22
19246;26/06/2024;BMW;X4 SUV;25/06/2024 19:53;22
19625;26/06/2024;MERCEDES-BENZ;GLE COUPE;02/07/2024 07:48;22
19632;26/06/2024;BMW;X5 SUV;25/06/2024 16:49;22
19556;26/06/2024;BMW;X1 SUV;24/06/2024 16:28;22
19489;26/06/2024;VOLVO;XC90 SUV;25/06/2024 12:21;22
19335;26/06/2024;VOLVO;XC90 SUV;25/06/2024 16:12;22
19355;26/06/2024;GWM;HAVAL H6 SUV;20/06/2024 19:46;22
19557;26/06/2024;MINI;COUNTRYMAN HATCH;24/06/2024 18:48;22
19572;26/06/2024;TOYOTA;COROLLA CROSS;24/06/2024 12:39;22
19290;26/06/2024;BMW;X1 SUV;19/06/2024 16:44;22
19356;26/06/2024;VOLVO;XC90 SUV;26/06/2024 15:16;22
19278;26/06/2024;VOLVO;XC90 SUV;21/06/2024 17:49;22
19328;26/06/2024;LAND ROVER;RANGE ROVER EVOQUE SUV;27/06/2024 21:44;22
19517;26/06/2024;TOYOTA;COROLLA SEDAN;18/06/2024 15:24;22
18430;26/06/2024;VOLVO;XC90 SUV (MÃO-DIREITA);18/06/2024 13:27;22
18780;26/06/2024;VOLVO;XC90 SUV (MÃO-DIREITA);20/06/2024 18:22;22
18782;26/06/2024;VOLVO;XC90 SUV (MÃO-DIREITA);20/06/2024 18:22;22
19578;26/06/2024;MINI;COUNTRYMAN HATCH;27/06/2024 20:29;22
19560;26/06/2024;LAND ROVER;RANGE ROVER EVOQUE SUV;25/06/2024 20:25;22
19549;26/06/2024;JEEP;COMPASS SUV;24/06/2024 08:47;22
19548;26/06/2024;JEEP;COMPASS SUV;20/06/2024 19:46;22
19538;26/06/2024;TOYOTA;COROLLA CROSS;26/06/2024 11:12;22
19537;26/06/2024;TOYOTA;COROLLA CROSS;24/06/2024 12:03;22
19547;26/06/2024;JEEP;COMPASS SUV;25/06/2024 13:34;22
19622;26/06/2024;BMW;SERIE 3 SEDAN;26/06/2024 17:07;22
19553;26/06/2024;JEEP;COMPASS SUV;20/06/2024 18:54;22
19272;26/06/2024;VOLKSWAGEN;TAOS SUV;19/06/2024 19:28;22
19515;26/06/2024;RAM;RAMPAGE PICK-UP;14/06/2024 12:27;22
19417;25/06/2024;GWM;HAVAL H6 SUV;25/06/2024 12:19;22
19366;25/06/2024;LAND ROVER;DEFENDER 110 SUV;26/06/2024 20:23;22
19494;25/06/2024;LAND ROVER;RANGE ROVER EVOQUE SUV;27/06/2024 20:38;22
19227;25/06/2024;VOLVO;XC60 SUV;27/06/2024 18:28;22
19604;25/06/2024;LAND ROVER;DISCOVERY SPORT SUV;24/06/2024 13:20;22
19571;25/06/2024;TOYOTA;COROLLA CROSS;24/06/2024 13:10;22
19570;25/06/2024;TOYOTA;COROLLA CROSS;21/06/2024 10:52;22
19524;24/06/2024;LAND ROVER;NEW DISCOVERY SUV;27/06/2024 11:23;22
19541;24/06/2024;VOLKSWAGEN;TAOS SUV;21/06/2024 10:04;22
19503;24/06/2024;VOLVO;C40 COUPE;19/06/2024 10:21;22
19519;24/06/2024;CHEVROLET;TRACKER SUV;21/06/2024 12:33;22
19508;24/06/2024;BMW;X3 SUV;24/06/2024 11:46;22
19500;24/06/2024;BMW;X1 SUV;19/06/2024 16:35;22
18570;24/06/2024;BMW;X3 SUV;14/06/2024 18:02;22
18428;24/06/2024;VOLVO;XC90 SUV (MÃO-DIREITA);21/06/2024 12:54;22
18429;24/06/2024;VOLVO;XC90 SUV (MÃO-DIREITA);18/06/2024 19:34;22
19014;24/06/2024;BMW;X5 SUV;12/06/2024 16:38;22
19283;24/06/2024;AUDI;A3 SEDAN;29/06/2024 13:00;22
19401;24/06/2024;GWM;HAVAL H6 GT;07/06/2024 16:20;22
19529;24/06/2024;AUDI;Q3 SPORTBACK;11/06/2024 15:14;22
19536;24/06/2024;JEEP;COMMANDER SUV;25/06/2024 19:11;22
19606;24/06/2024;LAND ROVER;RANGE ROVER SPORT SUV;29/06/2024 16:14;22
19607;24/06/2024;LAND ROVER;DEFENDER 110 SUV;25/06/2024 12:09;22
19609;24/06/2024;JAGUAR;F-PACE SUV;27/06/2024 17:21;22
19611;24/06/2024;LAND ROVER;RANGE ROVER EVOQUE SUV;27/06/2024 20:46;22
19535;24/06/2024;VOLVO;XC90 SUV;18/06/2024 17:40;22
19488;24/06/2024;VOLVO;XC60 SUV;20/06/2024 16:14;22
19036;24/06/2024;JEEP;COMMANDER SUV;12/06/2024 07:18;22
19497;24/06/2024;JEEP;COMMANDER SUV;17/06/2024 15:35;22
19035;24/06/2024;JEEP;COMMANDER SUV;24/06/2024 15:07;22
19038;24/06/2024;JEEP;COMMANDER SUV;21/06/2024 11:54;22
19546;21/06/2024;MERCEDES-BENZ;CLA COUPE;20/06/2024 19:45;22
19485;21/06/2024;TOYOTA;COROLLA CROSS;21/06/2024 12:33;22
19502;21/06/2024;BMW;X6 SUV;14/06/2024 19:47;22
19486;23/07/2024;VOLVO;XC40 BEV SUV;29/06/2024 16:15;44
19436;21/06/2024;LAND ROVER;DEFENDER 110 SUV;21/06/2024 11:00;22
19388;21/06/2024;VOLVO;XC60 SUV;27/06/2024 17:07;22
19418;21/06/2024;RAM;RAMPAGE PICK-UP;30/05/2024 15:55;22
19564;20/06/2024;JEEP;RENEGADE SUV;17/06/2024 14:44;22
19326;20/06/2024;TOYOTA;COROLLA CROSS;19/06/2024 11:54;22
19240;20/06/2024;BMW;SERIE 3 SEDAN;14/06/2024 12:15;22
19566;20/06/2024;TOYOTA;COROLLA CROSS;17/06/2024 18:57;22
19334;20/06/2024;AUDI;Q3 SUV;27/06/2024 20:38;22
19568;20/06/2024;TOYOTA;COROLLA CROSS;20/06/2024 11:12;22
18878;20/06/2024;VOLVO;C40 COUPE;05/06/2024 19:28;22
19516;20/06/2024;GWM;HAVAL H6 GT;17/06/2024 14:44;22
19443;20/06/2024;MINI;COOPER 02 PORTAS HATCH;25/06/2024 12:04;22
19322;20/06/2024;VOLVO;XC60 SUV;20/06/2024 19:44;22
19542;20/06/2024;BMW;X1 SUV;12/06/2024 16:38;22
19211;22/07/2024;BYD;SONG PLUS SUV;28/06/2024 11:13;44
19476;20/06/2024;AUDI;Q3 SPORTBACK;24/06/2024 18:56;22
19569;20/06/2024;TOYOTA;COROLLA CROSS;06/06/2024 20:07;22
19492;20/06/2024;TOYOTA;COROLLA CROSS;11/06/2024 15:13;22
19491;20/06/2024;TOYOTA;COROLLA CROSS;18/06/2024 19:24;22
19545;20/06/2024;LAND ROVER;RANGE ROVER VELAR SUV;18/06/2024 18:00;22
19558;20/06/2024;LAND ROVER;DISCOVERY SPORT SUV;18/06/2024 10:52;22
19477;20/06/2024;PORSCHE;MACAN;14/06/2024 08:32;22
19380;20/06/2024;BMW;X4 SUV;12/06/2024 14:12;22
19236;20/06/2024;GWM;HAVAL H6 GT;17/06/2024 13:44;22
19478;20/06/2024;PORSCHE;CAYENNE SUV;29/06/2024 14:33;22
19395;20/06/2024;VOLVO;XC90 SUV;14/06/2024 19:30;22
19275;20/06/2024;VOLVO;XC40 BEV SUV;07/06/2024 15:07;22
19463;20/06/2024;BMW;X3 SUV;25/06/2024 10:56;22
19543;20/06/2024;BMW;X1 SUV;05/06/2024 19:12;22
19482;20/06/2024;BMW;X3 SUV;14/06/2024 12:13;22
19496;20/06/2024;VOLKSWAGEN;TAOS SUV;10/06/2024 15:48;22
18984;20/06/2024;VOLVO;XC60 SUV;18/06/2024 15:52;22
19331;20/06/2024;VOLVO;XC90 SUV;17/06/2024 10:56;22
19321;20/06/2024;BMW;X3 SUV;07/06/2024 15:46;22
19435;20/06/2024;BMW;IX1 SUV;18/06/2024 16:24;22
19490;19/06/2024;MERCEDES-BENZ;GLA SUV;21/06/2024 10:05;22
19244;19/06/2024;BMW;X3 SUV;12/06/2024 08:56;22
17786;19/06/2024;TOYOTA;SW4 SUV;26/06/2024 20:22;22
19127;19/06/2024;TOYOTA;COROLLA CROSS;06/06/2024 15:40;22
19129;19/06/2024;TOYOTA;COROLLA CROSS;12/06/2024 08:07;22
19252;19/06/2024;BMW;X6 SUV;14/06/2024 12:15;22
19495;19/06/2024;LAND ROVER;DEFENDER 110 SUV;19/06/2024 17:34;22
19235;19/06/2024;LAND ROVER;NEW RANGE ROVER SPORT SUV;27/06/2024 21:44;22
19270;19/06/2024;VOLKSWAGEN;NIVUS SUV;05/06/2024 20:29;22
19493;19/06/2024;VOLKSWAGEN;TIGUAN ALLSPACE SUV;29/06/2024 09:37;22
19338;19/06/2024;VOLVO;XC90 SUV;17/06/2024 12:09;22
19229;19/06/2024;VOLVO;XC60 SUV;19/06/2024 10:16;22
19212;19/06/2024;BYD;SONG PLUS SUV;13/06/2024 16:33;22
19437;19/06/2024;BYD;SONG PLUS SUV;21/06/2024 10:14;22
19078;19/06/2024;VOLVO;XC60 SUV;17/06/2024 11:45;22
19359;19/06/2024;VOLVO;XC40 BEV SUV;07/06/2024 12:52;22
19333;19/06/2024;JEEP;RENEGADE SUV;10/06/2024 17:55;22
19269;19/06/2024;VOLKSWAGEN;T-CROSS SUV;20/06/2024 19:46;22
19429;19/06/2024;VOLKSWAGEN;TAOS SUV;05/06/2024 17:29;22
19430;19/06/2024;TOYOTA;COROLLA CROSS;05/06/2024 14:39;22
19498;19/06/2024;TOYOTA;RAV4 SUV;17/06/2024 13:09;22
19245;19/06/2024;BMW;X3 SUV;03/06/2024 12:12;22
19462;19/06/2024;TOYOTA;COROLLA CROSS;18/06/2024 12:47;22
19251;19/06/2024;BMW;X6 SUV;07/06/2024 11:27;22
19513;19/06/2024;VOLKSWAGEN;JETTA SEDAN;13/06/2024 18:03;22
19125;19/06/2024;TOYOTA;COROLLA CROSS;06/06/2024 13:00;22
19379;19/06/2024;JEEP;GRAND CHEROKEE SUV;29/06/2024 16:14;22
19428;19/06/2024;BMW;X1 SUV;29/05/2024 20:15;22
19200;19/06/2024;VOLVO;XC90 SUV;06/06/2024 19:29;22
19302;19/06/2024;AUDI;Q5 SUV;17/06/2024 15:35;22
19198;19/06/2024;VOLVO;XC40 BEV SUV;19/06/2024 18:49;22
19292;19/06/2024;BMW;X6 SUV;13/06/2024 10:21;22
19337;18/06/2024;VOLVO;XC60 SUV;15/06/2024 12:14;22
19391;18/06/2024;VOLVO;XC90 SUV;20/06/2024 11:46;22
19390;18/06/2024;VOLVO;XC90 SUV;13/06/2024 09:09;22
19411;18/06/2024;VOLVO;XC90 SUV;12/06/2024 08:06;22
18969;18/06/2024;VOLVO;XC60 SUV;20/06/2024 09:23;22
19215;18/06/2024;VOLVO;XC90 SUV;14/06/2024 18:58;22
19357;18/06/2024;VOLVO;C40 COUPE;04/06/2024 17:35;22
19167;17/06/2024;HONDA;Z-RV SUV;13/06/2024 09:05;22
19454;17/06/2024;AUDI;Q5 SUV;19/06/2024 19:11;22
19455;17/06/2024;TOYOTA;COROLLA CROSS;07/06/2024 18:34;22
19459;17/06/2024;TOYOTA;COROLLA CROSS;06/06/2024 17:01;22
19456;17/06/2024;TOYOTA;COROLLA CROSS;28/05/2024 18:22;22
19457;17/06/2024;TOYOTA;COROLLA CROSS;14/06/2024 08:31;22
19458;17/06/2024;TOYOTA;COROLLA CROSS;10/06/2024 15:47;22
19461;17/06/2024;TOYOTA;COROLLA CROSS;11/06/2024 15:00;22
19460;17/06/2024;TOYOTA;COROLLA CROSS;17/06/2024 09:11;22
19305;17/06/2024;VOLKSWAGEN;T-CROSS SUV;06/06/2024 11:29;22
19225;17/06/2024;BMW;I4 SEDAN;21/06/2024 06:57;22
19383;17/06/2024;LEXUS;NX 350 H SUV;24/06/2024 17:02;22
19382;17/06/2024;RAM;RAMPAGE PICK-UP;29/05/2024 14:30;22
19298;17/06/2024;VOLKSWAGEN;T-CROSS SUV;29/05/2024 19:55;22
19385;17/06/2024;JEEP;COMPASS SUV;29/05/2024 18:54;22
19304;17/06/2024;VOLVO;XC60 SUV;21/06/2024 17:19;22
19261;17/06/2024;LEXUS;RX 500H SUV;24/06/2024 11:36;22
19323;17/06/2024;VOLVO;XC90 SUV;29/05/2024 19:41;22
19155;17/06/2024;VOLVO;XC60 SUV;13/06/2024 10:19;22
19293;17/06/2024;BMW;SERIE 3 SEDAN;05/06/2024 12:43;22
19480;17/06/2024;CHEVROLET;TRAILBLAZER SUV;17/06/2024 18:19;22
19475;17/06/2024;VOLVO;XC60 SUV;17/06/2024 11:39;22
19315;17/07/2024;BYD;SONG PLUS SUV;11/06/2024 10:55;44
19470;17/06/2024;TOYOTA;COROLLA CROSS;06/06/2024 12:29;22
19217;13/06/2024;VOLVO;XC90 SUV;30/05/2024 16:39;22
18896;13/06/2024;TOYOTA;HILUX CABINE DUPLA PICK-UP;10/06/2024 11:25;22
19082;13/06/2024;TOYOTA;SW4 SUV;14/06/2024 08:45;22
19143;13/06/2024;MITSUBISHI;OUTLANDER SPORT;05/06/2024 18:38;22
19162;13/06/2024;VOLVO;XC60 SUV;14/06/2024 16:37;22
19448;13/06/2024;HONDA;NEW HR-V SUV;13/06/2024 10:20;22
19358;13/06/2024;TOYOTA;HILUX CABINE DUPLA PICK-UP;28/05/2024 20:58;22
19450;12/06/2024;VOLVO;XC40 BEV SUV;06/06/2024 11:03;22
19324;12/06/2024;VOLVO;XC40 SUV;12/06/2024 07:21;22
19279;12/07/2024;GWM;ORA 03 SKIN HATCH;11/06/2024 08:13;44
19363;12/06/2024;BMW;X6 SUV;27/05/2024 20:22;22
19196;12/06/2024;VOLVO;XC90 SUV;29/05/2024 15:42;22
19186;12/06/2024;VOLVO;C40 COUPE;29/05/2024 14:05;22
19079;12/06/2024;TOYOTA;COROLLA SEDAN;29/05/2024 17:42;22
19329;12/06/2024;VOLKSWAGEN;TAOS SUV;28/05/2024 14:56;22
19213;12/06/2024;GWM;HAVAL H6 SUV;28/05/2024 13:39;22
19280;12/06/2024;BMW;SERIE 3 SEDAN;03/06/2024 11:32;22
19466;12/06/2024;LAND ROVER;RANGE ROVER VOGUE SUV;20/06/2024 12:29;22
19465;12/06/2024;LAND ROVER;NEW DISCOVERY SUV;19/06/2024 09:41;22
19464;12/06/2024;LAND ROVER;RANGE ROVER EVOQUE SUV;20/06/2024 15:45;22
19370;12/06/2024;MERCEDES-BENZ;CLASSE C 300 SEDAN;13/06/2024 08:32;22
19362;12/06/2024;BMW;X5 SUV;30/05/2024 14:44;22
19300;12/06/2024;AUDI;Q3 SUV;24/06/2024 10:03;22
19295;12/06/2024;TOYOTA;COROLLA CROSS;30/05/2024 14:31;22
19193;12/06/2024;VOLVO;XC60 SUV;29/05/2024 18:10;22
19452;12/06/2024;JEEP;COMMANDER SUV;05/06/2024 12:06;22
19471;12/06/2024;MINI;COOPER 04 PORTAS HATCH;05/06/2024 09:54;22
19472;12/06/2024;MINI;COUNTRYMAN HATCH;17/06/2024 17:19;22
19368;12/06/2024;AUDI;Q8 SPB E-TRON SPORTBACK;17/06/2024 10:01;22
19360;12/06/2024;VOLVO;XC60 SUV;07/06/2024 20:13;22
19384;12/06/2024;GWM;HAVAL H6 SUV;04/06/2024 14:53;22
19327;11/06/2024;AUDI;Q5 SUV;29/05/2024 19:55;22
19317;11/06/2024;BMW;X4 SUV;18/06/2024 09:26;22
19377;11/06/2024;TOYOTA;SW4 SUV;14/06/2024 18:36;22
19277;11/06/2024;LEXUS;NX 350 H SUV;03/06/2024 17:32;22
19276;11/06/2024;LEXUS;UX 250H SUV;20/06/2024 15:31;22
19371;11/06/2024;BMW;SERIE 3 SEDAN;27/05/2024 12:16;22
19180;11/06/2024;GWM;HAVAL H6 GT;28/05/2024 16:12;22
19361;11/06/2024;VOLKSWAGEN;TIGUAN ALLSPACE SUV;12/06/2024 07:21;22
19230;11/06/2024;VOLVO;XC60 SUV;13/06/2024 16:24;22
19396;11/06/2024;GWM;HAVAL H6 SUV;28/05/2024 21:43;22
19467;11/06/2024;LAND ROVER;DISCOVERY SPORT SUV;06/06/2024 17:58;22
19449;11/06/2024;LAND ROVER;NEW DISCOVERY SUV;17/06/2024 10:25;22
19254;11/06/2024;TOYOTA;COROLLA CROSS;14/06/2024 08:46;22
19314;11/07/2024;BYD;SONG PLUS SUV;29/06/2024 09:28;44
19313;11/07/2024;BYD;SONG PLUS SUV;21/06/2024 10:53;44
19311;11/07/2024;BYD;SONG PLUS SUV;27/06/2024 22:05;44
19309;11/07/2024;BYD;SONG PLUS SUV;02/07/2024 17:08;44
19157;10/06/2024;VOLVO;XC60 SUV;29/05/2024 19:07;22
19297;10/06/2024;MINI;COOPER 04 PORTAS HATCH;05/06/2024 17:47;22
19221;10/06/2024;VOLVO;XC40 BEV SUV;29/05/2024 19:22;22
18576;10/06/2024;VOLVO;XC90 SUV (MÃO-DIREITA);14/06/2024 16:40;22
18431;10/06/2024;VOLVO;XC90 SUV (MÃO-DIREITA);05/06/2024 17:12;22
19201;10/06/2024;JEEP;RENEGADE SUV;28/05/2024 13:59;22
19422;10/06/2024;BYD;SONG PLUS SUV;28/05/2024 13:26;22
19289;10/06/2024;LEXUS;UX 250H SUV;11/06/2024 16:38;22
19291;10/06/2024;MINI;COUNTRYMAN HATCH;26/05/2024 12:30;22
19375;10/07/2024;BYD;DOLPHIN MINI HATCH;13/06/2024 10:21;44
19386;10/06/2024;JEEP;COMMANDER SUV;06/06/2024 17:04;22
19175;10/06/2024;VOLVO;XC40 BEV SUV;26/05/2024 15:17;22
18891;10/06/2024;GWM;HAVAL H6 SUV;27/05/2024 14:08;22
19197;10/06/2024;VOLVO;XC60 SUV;23/05/2024 18:00;22
19284;10/06/2024;AUDI;Q5 SPORTBACK;28/05/2024 18:32;22
19372;10/06/2024;TOYOTA;COROLLA CROSS;04/06/2024 12:11;22
19451;10/06/2024;JEEP;COMMANDER SUV;04/06/2024 16:39;22
19166;07/06/2024;VOLVO;XC60 SUV;28/05/2024 20:27;22
19286;07/06/2024;BMW;X3 SUV;29/05/2024 18:10;22
19206;07/06/2024;GWM;HAVAL H6 GT;22/05/2024 00:59;22
19182;07/06/2024;VOLVO;XC60 SUV;23/05/2024 18:00;22
19285;07/06/2024;LEXUS;ES 300H SEDAN;12/06/2024 07:20;22
19282;07/06/2024;VOLKSWAGEN;TAOS SUV;27/05/2024 12:20;22
19232;07/06/2024;LEXUS;RX 500H SUV;29/05/2024 17:38;22
19340;07/06/2024;BMW;SERIE 3 SEDAN;26/05/2024 14:30;22
19176;07/06/2024;RAM;RAMPAGE PICK-UP;25/05/2024 07:00;22
19194;07/06/2024;BYD;SONG PLUS SUV;26/05/2024 12:31;22
19205;06/06/2024;VOLVO;XC60 SUV;29/05/2024 12:38;22
19320;06/06/2024;FORD;MAVERICK  PICK-UP;17/06/2024 14:44;22
18853;06/06/2024;VOLKSWAGEN;TAOS SUV;27/05/2024 10:47;22
19054;06/06/2024;PORSCHE;MACAN;29/05/2024 14:30;22
19086;06/06/2024;VOLKSWAGEN;NIVUS SUV;29/05/2024 18:27;22
19103;06/06/2024;BYD;SONG PLUS SUV;13/06/2024 17:56;22
19233;06/06/2024;LAND ROVER;RANGE ROVER VELAR SUV;28/05/2024 20:12;22
19288;06/06/2024;VOLKSWAGEN;TIGUAN ALLSPACE SUV;13/06/2024 20:38;22
19330;06/06/2024;BYD;SONG PLUS SUV;24/05/2024 13:14;22
19332;06/06/2024;JEEP;RENEGADE SUV;10/06/2024 17:53;22
19364;06/06/2024;LAND ROVER;RANGE ROVER SPORT SUV;18/06/2024 09:29;22
19181;06/06/2024;BYD;DOLPHIN GS HATCH;24/05/2024 15:48;22
19268;05/06/2024;VOLKSWAGEN;T-CROSS SUV;29/05/2024 12:37;22
19346;05/06/2024;VOLKSWAGEN;TAOS SUV;28/05/2024 18:22;22
19316;05/07/2024;BYD;SONG PLUS SUV;11/06/2024 15:31;44
19318;05/07/2024;BYD;SONG PLUS SUV;07/06/2024 12:52;44
19342;05/06/2024;VOLKSWAGEN;T-CROSS SUV;29/05/2024 17:41;22
19343;05/06/2024;VOLKSWAGEN;T-CROSS SUV;26/05/2024 11:59;22
19344;05/06/2024;VOLKSWAGEN;T-CROSS SUV;28/05/2024 13:22;22
19347;05/06/2024;VOLKSWAGEN;TAOS SUV;30/05/2024 14:07;22
19348;05/06/2024;VOLKSWAGEN;TAOS SUV;26/05/2024 14:06;22
19349;05/06/2024;VOLKSWAGEN;NIVUS SUV;29/05/2024 12:38;22
19352;05/06/2024;VOLKSWAGEN;TIGUAN ALLSPACE SUV;30/05/2024 15:55;22
19353;05/06/2024;VOLKSWAGEN;NIVUS SUV;27/05/2024 10:46;22
19345;05/06/2024;LAND ROVER;NEW DISCOVERY SUV;04/06/2024 15:53;22
19153;05/06/2024;VOLVO;XC90 SUV;05/06/2024 11:32;22
19187;05/06/2024;BMW;X1 SUV;24/05/2024 12:04;22
